SNAPSHOT_DATE|SNAPSHOT_MONTH_KEY|ACCOUNT_ID|CUSTOMER_ID|BRANCH_ID|PRODUCT_ID|OPENING_BALANCE|CLOSING_BALANCE|TOTAL_DEBITS|TOTAL_CREDITS|DEBIT_COUNT|CREDIT_COUNT|FEES_CHARGED|INTEREST_CHARGED|CURRENCY_CODE|ETL_BATCH_ID
2024-01-31|202401|ACCT-NO-100001|1001|101|1|114745.22|108979.71|9183.77|3418.26|5|3|33.47|163.47|NOK|20240000
2024-02-29|202402|ACCT-NO-100001|1001|101|1|114545.9|111428.11|7992.49|4874.7|6|4|36.14|167.14|NOK|20240001
2024-03-31|202403|ACCT-NO-100001|1001|101|1|114346.58|113876.51|6801.21|6331.14|7|5|38.81|170.81|NOK|20240002
2024-04-30|202404|ACCT-NO-100001|1001|101|1|114147.26|116324.91|5609.93|7787.58|8|6|41.49|174.49|NOK|20240003
2024-05-31|202405|ACCT-NO-100001|1001|101|1|113947.94|118773.31|4418.65|9244.02|9|7|24.16|178.16|NOK|20240004
2024-06-30|202406|ACCT-NO-100001|1001|101|1|113748.62|121221.71|3227.37|10700.46|10|3|26.83|181.83|NOK|20240005
2024-07-31|202407|ACCT-NO-100001|1001|101|1|140549.3|133670.11|10036.09|3156.9|11|4|44.51|200.51|NOK|20240006
2024-08-31|202408|ACCT-NO-100001|1001|101|1|140349.98|136118.51|8844.81|4613.34|5|5|47.18|204.18|NOK|20240007
2024-09-30|202409|ACCT-NO-100001|1001|101|1|140150.66|138566.91|7653.53|6069.78|6|6|29.85|207.85|NOK|20240008
2024-10-31|202410|ACCT-NO-100001|1001|101|1|139951.34|141015.31|6462.25|7526.22|7|7|32.52|211.52|NOK|20240009
2024-11-30|202411|ACCT-NO-100001|1001|101|1|139752.02|143463.71|5270.97|8982.66|8|3|35.2|215.2|NOK|20240010
2024-12-31|202412|ACCT-NO-100001|1001|101|1|139552.7|145912.11|4079.69|10439.1|9|4|37.87|218.87|NOK|20240011
2025-01-31|202501|ACCT-NO-100001|1001|101|1|139353.38|148360.51|2888.41|11895.54|10|5|20.54|222.54|NOK|20240012
2025-02-28|202502|ACCT-NO-100001|1001|101|1|166154.06|160808.91|9697.13|4351.98|11|6|38.21|241.21|NOK|20240013
2025-03-31|202503|ACCT-NO-100001|1001|101|1|165954.73|163257.31|8505.84|5808.42|5|7|40.89|244.89|NOK|20240014
